,name,description,services,website,employees,contact_person,address,telephone,revenue
0,The Calgary Fetal Alcohol Network An Alberta Story,"The Calgary Fetal Alcohol Network An Alberta Story is located in Calgary, AB, Canada and is part of the General Medical and Surgical Hospitals Industry. The Calgary Fetal Alcohol Network An Alberta Story has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.mycfan.ca
                                            ",     150,None,"
                                            Suite 141 200 Rivercrest Dr Se Calgary, AB, T2C 2X5 Canada
                                            
                                            
                                            
                                        ",(403) 249-7215,$16.66 million
0,Canadian Society Of Addiction Medicine,"Canadian Society Of Addiction Medicine is located in Calgary, AB, Canada and is part of the General Medical and Surgical Hospitals Industry. Canadian Society Of Addiction Medicine has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.csam-smca.org
                                            ",     150,"
                                        
                                        
                                            Claudette Chase
                                        
                                        ","
                                            1444 40 St Sw Calgary, AB, T3C 1W7 Canada
                                            
                                            
                                            
                                        ",(403) 246-9393,$16.66 million
0,Mental Illness Caregivers Association Of Canada,"Mental Illness Caregivers Association Of Canada is located in Ottawa, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Mental Illness Caregivers Association Of Canada has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.micaontario.com
                                            ",     150,None,"
                                            19 Colonnade Road Ottawa, ON, K2E 0B5 Canada
                                            
                                            
                                            
                                        ",(613) 860-7800,$16.66 million
0,District 19 A Diabetes Foundation,"District 19 A Diabetes Foundation is located in North Vancouver, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. District 19 A Diabetes Foundation has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            5319 Esperanza Dr North Vancouver, BC, V7R 3W3 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Ezer Mizion,"Ezer Mizion is located in North York, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Ezer Mizion has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.ezermizion.ca
                                            ",     150,None,"
                                            1110 Finch Ave W Suite 701 North York, ON, M3J 2T2 Canada
                                            
                                            
                                            
                                        ",(647) 799-1475,$16.66 million
0,Kates Kause,"Kates Kause is located in Elmira, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Kates Kause has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.kateskause.com
                                            ",     150,None,"
                                            43 Snow Goose Cres Elmira, ON, N3B 3M4 Canada
                                            
                                            
                                            
                                        ",(519) 669-9125,$16.66 million
0,Groupe En Toute Amitie De Senneterre,"Groupe En Toute Amitie De Senneterre is located in Senneterre, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. Groupe En Toute Amitie De Senneterre has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            708 10e Ave Senneterre, QC, J0Y 2M0 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Societe Franco-Ontarienne De L'Autisme,"Societe Franco-Ontarienne De L'Autisme is located in Ottawa, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Societe Franco-Ontarienne De L'Autisme has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.sfoautisme.org
                                            ",     150,None,"
                                            Suite 105 240 Centrum Blvd Ottawa, ON, K1E 3J4 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Korean Canadian Alzheimers Society,"Korean Canadian Alzheimers Society is located in Scarborough, ON, Canada and is part of the General Medical and Surgical Hospitals Industry. Korean Canadian Alzheimers Society has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            72 Dusay Pl Suite 27 Scarborough, ON, M1W 2N2 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Delta Stroke Recovery Society,"Delta Stroke Recovery Society is located in Delta, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. Delta Stroke Recovery Society has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.deltastrokerecovery.com
                                            ",     150,None,"
                                            693 53 St Delta, BC, V4M 3B6 Canada
                                            
                                            
                                            
                                        ",(604) 721-8571,$16.66 million
0,Service Populaire Daccompagnement Psychosocial,"Service Populaire Daccompagnement Psychosocial is located in Saint-Joachim-De-Shefford, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. Service Populaire Daccompagnement Psychosocial has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            310 Ch Vincelette Saint-Joachim-De-Shefford, QC, J0E 2G0 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Fondation Claude-Durocher,"Fondation Claude-Durocher is located in Sherbrooke, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. Fondation Claude-Durocher has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            4650 Boul De Portland Sherbrooke, QC, J1L 0H6 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Dil Walk Foundation,"Dil Walk Foundation is located in Calgary, AB, Canada and is part of the General Medical and Surgical Hospitals Industry. Dil Walk Foundation has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.dilwalk.ca
                                            ",     150,None,"
                                            222 Hamptons Gdns Nw Calgary, AB, T3A 5X4 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,La Maison Des Trois Colombes 2014,"La Maison Des Trois Colombes 2014 is located in Shawinigan, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. La Maison Des Trois Colombes 2014 has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,None,     150,None,"
                                            600 117e Rue Shawinigan, QC, G9P 3C3 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Nepal House Society,"Nepal House Society is located in Surrey, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. Nepal House Society has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.nepalhousesociety.org
                                            ",     150,None,"
                                            7711 147a St Surrey, BC, V3S 8Z4 Canada
                                            
                                            
                                            
                                        ",(604) 722-7545,$16.66 million
0,Aidants Unis Pour Recreer Ensemble Des Soutiens,"Aidants Unis Pour Recreer Ensemble Des Soutiens is located in Gatineau, QC, Canada and is part of the General Medical and Surgical Hospitals Industry. Aidants Unis Pour Recreer Ensemble Des Soutiens has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.aupres.ca
                                            ",     150,None,"
                                            230 Rue Des Draveurs Gatineau, QC, J9J 1K5 Canada
                                            
                                            
                                            
                                        ",(819) 557-0789,$16.66 million
0,Oceanside Stroke Recovery Society,"Oceanside Stroke Recovery Society is located in Qualicum Beach, BC, Canada and is part of the General Medical and Surgical Hospitals Industry. Oceanside Stroke Recovery Society has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.oceansidestrokerecovery.org
                                            ",     150,None,"
                                            399 Dorset Rd Qualicum Beach, BC, V9K 1H5 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
0,Alzheimer Society Of Nova Scotia,"Alzheimer Society Of Nova Scotia is located in Halifax, NS, Canada and is part of the General Medical and Surgical Hospitals Industry. Alzheimer Society Of Nova Scotia has      150 total employees across all of its locations and generates $16.66 million in sales (USD). (Employees and Sales figures are modelled). ",                                                                                                                                       General Medical and Surgical Hospitals                                                                                                                                                                                                                                                                                                                                                            Hospitals                                                                                                                                                                                                                                                                                                                                                            Health Care and Social Assistance                                                                                                                                                                                                                                                                                                                                                        General medical and surgical hospitals                                                                                                                           ,"
                                                    www.alzheimer.ca
                                            ",     150,"
                                        
                                        
                                            Andrew Macisaac
                                        
                                        ","
                                            Suite 112 2719 Gladstone St Halifax, NS, B3K 4W6 Canada
                                            
                                            
                                            
                                        ",None,$16.66 million
